symbol,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score
MSB,18.5,35181600,2600000000,48100000000.0,6,32,38
HDB,33.15,17396900,3510142254,116361215720.09999,21,17,38
FPT,105.0,11033600,1703507121,178868247705.0,30,9,39
MSN,84.8,13228500,1445915457,122613630753.59999,25,15,40
VIX,37.5,24527700,1531429858,57428619675.0,13,28,41
VIB,22.95,18316700,3404005710,78121931044.5,20,21,41
ACB,27.65,11279900,5136656599,142028554962.35,29,12,41
CTG,51.0,9019200,5369991748,273869579148.0,35,7,42
MWG,77.5,12031500,1479693177,114676221217.5,27,18,45
BID,43.4,7236000,7021361917,304727107197.8,41,4,45
VND,26.8,30466400,1522299908,40797637534.4,9,37,46
VHM,102.3,5504100,4107412004,420188248009.2,43,3,46
EIB,29.8,19988000,1868810607,55690556088.6,17,30,47
POW,16.75,26151100,2341871600,39226349300.0,12,38,50
STB,56.4,7720900,1885215716,106326166382.4,40,19,59
GEX,54.5,9765200,902398948,49180742666.0,32,31,63
VNM,61.8,4228100,2089955445,129159246501.0,50,14,64
DXG,23.65,21329000,1020631675,24137939113.75,16,49,65
DIG,25.4,33214700,646431191,16419352251.4,7,59,66
PDR,26.0,19778800,979809379,25475043854.0,18,48,66
VIC,125.0,1988700,3823661561,477957695125.0,66,2,68
HCM,29.7,18840200,720811532,21408102500.399998,19,51,70
OCB,14.15,11714900,2465789152,34890916500.8,28,42,70
GVR,29.5,3336000,4000000000,118000000000.0,55,16,71
VRE,30.3,4316100,2328818410,70563197823.0,48,24,72
LPB,45.65,2871500,2987282100,136369427865.0,59,13,72
TCH,24.15,24450200,668215843,16137412608.449999,14,60,74
VCI,48.2,10813200,722600000,34829320000.0,31,43,74
HSG,20.95,28845500,620982309,13009579373.55,10,67,77
CII,23.8,23245100,624939021,14873548699.800001,15,62,77
KBC,40.3,8054000,941754759,37952716787.7,38,39,77
KDH,36.75,5226700,1122214899,41241397538.25,44,36,80
SSB,21.65,2610700,2845000000,61594249999.99999,60,26,86
VJC,140.0,2005200,541611334,75825586760.0,65,23,88
HAG,16.45,9678300,1057467947,17395347728.149998,33,56,89
NKG,18.1,38165500,447570881,8101032946.1,4,87,91
VCG,26.4,9533400,646468336,17066764070.4,34,57,91
GAS,64.2,719500,2342672919,150399601399.80002,81,11,92
EVF,14.6,14267700,760565802,11104260709.199999,24,73,97
VSC,32.8,13214700,374370362,12279347873.599998,26,71,97
SAB,47.1,1013000,1282562372,60408687721.200005,76,27,103
DGC,99.3,2212600,379779286,37712083099.799995,64,40,104
NAB,16.3,3151700,1715686480,27965689624.0,58,47,105
PVD,22.45,8385700,556296006,12488845334.699999,37,69,106
DCM,39.4,3391300,529400000,20858360000.0,54,52,106
PLX,36.65,1443500,1293878081,47420631668.65,73,33,106
VPI,58.5,3769000,320049577,18722900254.5,53,55,108
GMD,68.5,2471700,420192309,28783173166.5,63,45,108
HHV,15.6,15704700,497433003,7759954846.8,23,89,112
PNJ,88.4,1615100,338074776,29885810198.4,69,44,113
DBC,28.0,7831700,384866667,10776266676.0,39,75,114
NLG,43.75,3259600,385075304,16847044550.0,56,58,114
HDG,32.65,4840800,369963035,12079293092.75,46,72,118
BVH,60.5,568700,742322764,44910527222.0,85,34,119
REE,65.4,740100,541658139,35424442290.600006,79,41,120
BCM,67.7,283300,1035000000,70069500000.0,95,25,120
FTS,40.05,3157500,346498009,13877245260.449999,57,64,121
VGC,62.5,857200,448350000,28021875000.0,78,46,124
GEE,116.0,355400,365999956,42455994896.0,89,35,124
DPM,26.95,4256900,391400000,10548230000.0,49,76,125
PC1,27.7,4778100,357642121,9906686751.699999,47,79,126
SBT,24.55,1145500,814545038,19997080682.9,74,53,127
CTS,44.05,4030600,212693438,9369145943.9,51,81,132
DXS,13.6,5116400,579103124,7875802486.4,45,88,133
HDC,37.4,5987700,178354966,6670475728.4,42,93,135
PVT,18.35,3864800,469931235,8623238162.25,52,83,135
VHC,58.2,1551900,224453159,13063173853.800001,71,66,137
FRT,129.8,552500,170301785,22105171693.000004,87,50,137
BSI,54.9,1062700,245365943,13470590270.699999,75,65,140
DGW,44.0,2595200,219320169,9650087436.0,61,80,141
DSE,32.5,1560300,339900000,11046750000.0,70,74,144
VTP,105.2,666000,121783042,12811576018.4,83,68,151
ANV,27.55,2486600,266667500,7346689625.0,62,91,153
SJS,66.3,38400,297474828,19722581096.399998,100,54,154
SIP,60.8,302300,242112943,14720466934.4,92,63,155
KDC,54.7,283800,289806316,15852405485.2,94,61,155
CTR,91.8,671800,114385879,10500623692.199999,82,77,159
CMG,41.85,723800,211339607,8844562552.95,80,82,162
SZC,34.85,1895200,179985863,6272507325.55,67,96,163
NT2,22.65,1713000,287876029,6520392056.849999,68,95,163
PAN,33.4,1549300,216294580,7224238972.0,72,92,164
BMP,152.0,189900,81860938,12442862576.0,97,70,167
KOS,38.9,384500,216481335,8421123931.5,88,85,173
TLG,56.9,903300,86453575,4919208417.5,77,98,175
CTD,78.3,352500,103633261,8114484336.299999,90,86,176
BWE,47.2,139100,219928644,10380631996.800001,98,78,176
HT1,17.45,562800,381589911,6658743946.95,86,94,180
PHR,56.5,329600,135499198,7655704687.0,91,90,181
PPC,11.05,656900,326235000,3604896750.0,84,99,183
IMP,54.7,103500,154042762,8426139081.400001,99,84,183
PTB,51.0,284600,66938403,3413858553.0,93,100,193
SCS,60.7,269700,94886982,5759639807.400001,96,97,193
>>>>>>> f63fd00ddbeaad16bce999b4420ede33f1ae473e
